zielgroesse,feature_set,modell,f1_std,f1_rueckuebersetzt_std,f1_rueckuebersetzt_std,f1_mean,f1_rueckuebersetzt_mean,f1_rueckuebersetzt_mean
continuous,combined,Ridge,,0.0444559368672347,0.0444559368672347,,0.3354299981156963,0.3354299981156963
continuous,combined,kNN,,0.0341071568550474,0.0341071568550474,,0.3388978284106204,0.3388978284106204
continuous,combined,SVR,,0.0641215271802994,0.0641215271802994,,0.2659090909090909,0.2659090909090909
continuous,combined,RandomForest,,0.0489163616790307,0.0489163616790307,,0.3647237272853036,0.3647237272853036
continuous,combined,HistGradientBoosting,,0.0313394764608214,0.0313394764608214,,0.3656932292542595,0.3656932292542595
continuous,combined,XGBoost,,0.0595202875055322,0.0595202875055322,,0.3544727891156461,0.3544727891156461
continuous,combined,LightGBM,,0.0692153103896978,0.0692153103896978,,0.3601952015601152,0.3601952015601152
continuous,combined,MLP,,0.0530738733411938,0.0530738733411938,,0.3517997722836695,0.3517997722836695
multilabel,original,LogisticRegression,,0.0,0.0,,0.0,0.0
multilabel,original,kNN,,0.0,0.0,,0.0,0.0
multilabel,original,SVC,,0.0,0.0,,0.0,0.0
multilabel,original,RandomForest,,0.0266666666666666,0.0266666666666666,,0.0133333333333333,0.0133333333333333
multilabel,original,HistGradientBoosting,,0.0227472578440218,0.0227472578440218,,0.0759335288367546,0.0759335288367546
multilabel,original,XGBoost,,0.0316666666666666,0.0316666666666666,,0.0258333333333333,0.0258333333333333
multilabel,original,LightGBM,,0.0431721425465498,0.0431721425465498,,0.0737480584032308,0.0737480584032308
multilabel,original,GaussianNB,,0.0176375773235957,0.0176375773235957,,0.4132077898455593,0.4132077898455593
multilabel,original,MLP,,0.0,0.0,,0.0,0.0
multilabel,original_no_kategorial,LogisticRegression,,0.0258064516129032,0.0258064516129032,,0.0129032258064516,0.0129032258064516
multilabel,original_no_kategorial,kNN,,0.03165571126922,0.03165571126922,,0.0387365591397849,0.0387365591397849
multilabel,original_no_kategorial,SVC,,0.0,0.0,,0.0,0.0
multilabel,original_no_kategorial,RandomForest,,0.0321402867823989,0.0321402867823989,,0.0262365591397849,0.0262365591397849
multilabel,original_no_kategorial,HistGradientBoosting,,0.0464848760709099,0.0464848760709099,,0.0767155425219941,0.0767155425219941
multilabel,original_no_kategorial,XGBoost,,0.048520246908292,0.048520246908292,,0.0524731182795698,0.0524731182795698
multilabel,original_no_kategorial,LightGBM,,0.0290415582082868,0.0290415582082868,,0.0880455407969639,0.0880455407969639
multilabel,original_no_kategorial,GaussianNB,,0.0396311956017043,0.0396311956017043,,0.410825729035374,0.410825729035374
multilabel,original_no_kategorial,MLP,,0.0983724675051373,0.0983724675051373,,0.1900308841485312,0.1900308841485312
multilabel,residual,LogisticRegression,,0.0,0.0,,0.0,0.0
multilabel,residual,kNN,,0.0258064516129032,0.0258064516129032,,0.0129032258064516,0.0129032258064516
multilabel,residual,SVC,,0.0,0.0,,0.0,0.0
multilabel,residual,RandomForest,,0.0,0.0,,0.0,0.0
multilabel,residual,HistGradientBoosting,,0.0321402867823989,0.0321402867823989,,0.0262365591397849,0.0262365591397849
multilabel,residual,XGBoost,,0.0258064516129032,0.0258064516129032,,0.0129032258064516,0.0129032258064516
multilabel,residual,LightGBM,,0.0319671469695691,0.0319671469695691,,0.0391397849462365,0.0391397849462365
multilabel,residual,GaussianNB,,0.0124422485596605,0.0124422485596605,,0.4119717478296998,0.4119717478296998
multilabel,residual,MLP,,0.032659863237109,0.032659863237109,,0.0266666666666666,0.0266666666666666
multilabel,combined,LogisticRegression,,0.0242424242424242,0.0242424242424242,,0.0121212121212121,0.0121212121212121
multilabel,combined,kNN,,0.0310007032538256,0.0310007032538256,,0.0379276637341153,0.0379276637341153
multilabel,combined,SVC,,0.0,0.0,,0.0,0.0
multilabel,combined,RandomForest,,0.0266666666666666,0.0266666666666666,,0.0133333333333333,0.0133333333333333
multilabel,combined,HistGradientBoosting,,0.0396080295515216,0.0396080295515216,,0.0641963292547274,0.0641963292547274
multilabel,combined,XGBoost,,0.0460924929498946,0.0460924929498946,,0.0509090909090909,0.0509090909090909
multilabel,combined,LightGBM,,0.020624035774056,0.020624035774056,,0.0764326375711575,0.0764326375711575
multilabel,combined,GaussianNB,,0.0176182881128231,0.0176182881128231,,0.4116352293951724,0.4116352293951724
multilabel,combined,MLP,,0.0731736727991363,0.0731736727991363,,0.0766769865841073,0.0766769865841073
